Date,Price,global_m2,m2_daily_change,PositionRatio
2013-05-02,106.340984697253,61963.1494977,,0.6
2013-05-03,96.3168402741087,61855.6993302,-107.45016749999922,0.6
2013-05-04,112.497636369082,61855.6993302,0.0,0.6
2013-05-05,116.488715827002,61855.6993302,0.0,0.6
2013-05-06,112.118596195207,61908.9652252,53.26589500000409,1.0
2013-05-07,111.609212873466,61860.2912177,-48.67400749999797,0.6
2013-05-08,113.136061854763,61866.7198602,6.428642499995476,1.0
2013-05-09,111.974532710696,61943.8635702,77.14371000000392,1.0
2013-05-10,117.691036883694,61827.2296277,-116.6339425000042,0.6
2013-05-11,115.49977766277,61827.2296277,0.0,0.6
2013-05-12,114.885675559614,61827.2296277,0.0,0.6
2013-05-13,117.404456646113,61763.8615802,-63.3680475000001,0.6
2013-05-14,107.865566569258,61784.9842627,21.122682500004885,1.0
2013-05-15,108.986852425482,61738.1470102,-46.83725250000134,0.6
2013-05-16,112.917874050263,61687.63624769999,-50.51076250000915,0.6
2013-05-17,117.284616014027,61688.5546252,0.9183775000055903,1.0
2013-05-18,118.169876680304,61688.5546252,0.0,0.6
2013-05-19,117.033880187025,61688.5546252,0.0,0.6
2013-05-20,117.818636469901,61645.3908827,-43.16374250000081,0.6
2013-05-21,117.252040911748,61695.90164519999,50.5107624999946,1.0
2013-05-22,118.9781735827,61721.6162152,25.71457000001101,1.0
2013-05-23,123.726156049094,61650.9011477,-70.71506750000117,0.6
2013-05-24,128.971080654588,61727.12648019999,76.22533249999105,1.0
2013-05-25,128.844915254237,61727.12648019999,0.0,0.6
2013-05-26,130.158601110462,61727.12648019999,0.0,0.6
2013-05-27,126.392905902981,61739.0653877,11.93890750000719,1.0
2013-05-28,125.904595265926,61735.3918777,-3.673510000000533,0.6
2013-05-29,129.564812390415,61654.5746577,-80.81721999999718,0.6
2013-05-30,126.513068381064,61748.2491627,93.6745049999954,1.0
2013-05-31,127.816488895383,61836.4134027,88.16423999999824,1.0
2013-06-01,128.791151081239,61836.4134027,0.0,0.6
2013-06-02,122.626708942139,61836.4134027,0.0,0.6
2013-06-03,122.949187901812,61793.2496602,-43.16374249999353,0.6
2013-06-04,120.189968731736,61863.0463502,69.79668999999558,1.0
2013-06-05,120.869923845704,61863.0463502,0.0,0.6
2013-06-06,119.053975669784,61881.4139002,18.367550000002666,1.0
2013-06-07,110.1977314436,62021.9256577,140.51175749999675,1.0
2013-06-08,109.178545341321,62021.9256577,0.0,0.6
2013-06-09,99.9036034482759,62021.9256577,0.0,0.6
2013-06-10,104.357566627703,62001.7213527,-20.204304999999295,0.6
2013-06-11,107.507520455874,62001.7213527,0.0,0.6
2013-06-12,106.378116306254,61988.895352700005,-12.825999999993655,0.6
2013-06-13,101.323897720631,62095.427142700006,106.53179000000091,1.0
2013-06-14,99.2132443015781,62121.1417127,25.714569999996456,1.0
2013-06-15,99.8750374050263,62121.1417127,0.0,0.6
2013-06-16,99.0383512565751,62121.1417127,0.0,0.6
2013-06-17,100.126305084746,62103.692540200005,-17.449172499997076,0.6
2013-06-18,104.289176382233,62116.5498252,12.857284999998228,1.0
2013-06-19,104.417150789012,62105.2730177,-11.276807500005816,0.6
2013-06-20,104.323499707773,62015.2720227,-90.00099499999487,0.6
2013-06-21,101.416857393337,61963.8428827,-51.42914000000019,0.6
2013-06-22,100.039508474576,61963.8428827,0.0,0.6
2013-06-23,100.314744593805,61963.8428827,0.0,0.6
2013-06-24,99.0456832261835,61843.5354302,-120.30745250000473,0.6
2013-06-25,97.8327887200468,61868.3316227,24.796192500005418,1.0
2013-06-26,98.6517007597896,61802.4929927,-65.83863000000565,0.6
2013-06-27,96.8039495990649,61740.9617002,-61.5312924999962,0.6
2013-06-28,89.4245067212157,61762.0843827,21.12268249999761,1.0
2013-06-29,88.7972910578609,61762.0843827,0.0,0.6
2013-06-30,89.4809076563413,61762.0843827,0.0,0.6
2013-07-01,82.8675701344243,61741.8800777,-20.204304999999295,0.6
2013-07-02,87.8164666861484,61791.4724627,49.59238500000356,1.0
2013-07-03,77.6913308007014,61688.2038652,-103.26859750000585,0.6
2013-07-04,79.1348708357686,61717.5919452,29.388080000004265,1.0
2013-07-05,67.4476238527177,61622.99906269999,-94.59288250000827,0.6
2013-07-06,66.3416808883694,61622.99906269999,0.0,0.6
2013-07-07,72.1095223728814,61622.99906269999,0.0,0.6
2013-07-08,73.9885537697253,61550.4472402,-72.55182249999052,0.6
2013-07-09,74.8919108708358,61589.0190952,38.571854999994684,1.0
2013-07-10,85.0136791350088,61537.3384977,-51.6805974999952,0.6
2013-07-11,87.4975493863238,61910.1997627,372.86126499999955,1.0
2013-07-12,90.0466987142022,61827.5457877,-82.65397500000108,0.6
2013-07-13,91.5925978959673,61827.5457877,0.0,0.6
2013-07-14,89.892269275862,61827.5457877,0.0,0.6
2013-07-15,93.7961525423729,61792.6474427,-34.89834500000143,0.6
2013-07-16,91.7810356516657,61791.7290652,-0.9183774999983143,0.6
2013-07-17,91.0313512565751,61894.7517952,103.02272999999695,1.0
2013-07-18,84.9617291174752,61863.5269602,-31.224835000000894,0.6
2013-07-19,86.2387945996493,61858.0166952,-5.510264999997162,0.6
2013-07-20,84.9108591466978,61858.0166952,0.0,0.6
2013-07-21,85.6643502618352,61858.0166952,0.0,0.6
2013-07-22,85.6490286382233,61903.0171927,45.00049749999744,1.0
2013-07-23,86.977056691993,61930.5685177,27.55132500000036,1.0
2013-07-24,88.15173056692,61972.629975200005,42.061457500007236,1.0
2013-07-25,90.166092226768,61943.2418952,-29.388080000004265,0.6
