,Date,Price,global_m2,m2_daily_change,PositionRatio,global_m2_change,next_day_price_change
3621,2023-04-01,28494.5638863238,92618.1599656,0.0,1.0,0.0,-0.011671203371086403
3622,2023-04-02,28161.9980362361,92710.8097729,92.6498072999966,1.0,0.0010003416968595857,-0.011043892987838144
3623,2023-04-03,27850.9799436002,92946.9886351,236.1788622000022,1.0,0.0025474792289974513,0.009442345498609006
3624,2023-04-04,28113.9585187025,92874.2000194,-72.78861570000299,1.0,-0.0007831196768058879,0.0027158426522257972
3625,2023-04-05,28190.3116063705,92886.6119096,12.411890200004564,1.0,0.0001336419608179984,-0.00501013014730145
3626,2023-04-06,28049.0744763296,92917.9886771,31.376767499998092,1.0,0.0003377964472484063,-0.004002635290723866
3627,2023-04-07,27936.8042609585,92917.9886771,0.0,1.0,0.0,0.000975308007347131
3628,2023-04-08,27964.0512498539,92917.9886771,0.0,1.0,0.0,0.014080793120344381
3629,2023-04-09,28357.8072703098,92864.8289516,-53.15972550000879,1.0,-0.0005721144662821365,0.04689212750838245
3630,2023-04-10,29687.5651846873,92876.2982659,11.469314300004044,1.0,0.00012350546950323782,0.018847309679228985
3631,2023-04-11,30247.0959193454,92937.2155113,60.91724540000723,1.0,0.0006558965692797791,-0.011045436358223082
3632,2023-04-12,29913.0035463472,93075.2020721,137.98656079999637,1.0,0.0014847288036428097,0.015305000219167253
3633,2023-04-13,30370.82207218,92976.8660592,-98.3360129000066,1.0,-0.001056522153170647,0.0029023899684605947
3634,2023-04-14,30458.9700414962,93044.7790592,67.91300000000047,1.0,0.000730429007542055,-0.0038383088108634444
3635,2023-04-15,30342.0591084161,93044.7790592,0.0,1.0,0.0,-0.0009599959913668688
3636,2023-04-16,30312.9308533022,92944.5350054,-100.24405379999372,1.0,-0.0010773743009934167,-0.027823960164703787
3637,2023-04-17,29469.5050727645,93011.3430732,66.80806779999693,1.0,0.0007187950081855021,0.03045070849936815
3638,2023-04-18,30366.8723813559,93001.8547858,-9.488287400003172,1.0,-0.00010201215342664494,-0.05170530130241524
3639,2023-04-19,28796.7440952659,92911.6075253,-90.247260499993,1.0,-0.0009703812973176351,-0.018941992693454313
3640,2023-04-20,28251.2763790181,92956.3648127,44.757287400003406,1.0,0.0004817190079056122,-0.03395440478324485
3641,2023-04-21,27292.0211052016,92943.6008127,-12.764000000010128,1.0,-0.0001373117378861144,0.019622089723055902
3642,2023-04-22,27827.5475920514,92943.6008127,0.0,1.0,0.0,-0.008008683377095593
